IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
47.243.118.63,4,4,0.00,227.55,0.00
47.242.74.110,4,4,0.00,229.35,0.00
47.57.233.126,4,4,0.00,229.56,0.00
47.57.14.118,4,4,0.00,231.94,0.00
